,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,popularity,uri,title,artist,top genre,year,target
0,0.425,0.1,135.128,0.375,0.32799999999999996,0.13,4,0.701,7,194088,-10.965,0.562,1,audio_features,89,spotify:track:2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,electropop,2019,1
1,0.125,0.265,111.554,0.239,0.7509999999999999,0.00207,4,0.521,9,243725,-17.832,0.0528,1,audio_features,78,spotify:track:4QIo4oxwzzafcBWkKjDpXY,xanny,Billie Eilish,electropop,2019,1
2,0.5329999999999999,0.139,150.455,0.18600000000000003,0.462,0.21899999999999997,4,0.6779999999999999,4,180953,-10.485,0.32299999999999995,1,audio_features,81,spotify:track:3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,Billie Eilish,electropop,2019,1
3,0.444,0.177,185.044,0.37200000000000005,0.28300000000000003,0.14300000000000002,4,0.726,8,168840,-8.922,0.569,0,audio_features,80,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,Billie Eilish,electropop,2019,1
4,0.35100000000000003,0.752,118.02799999999999,0.24100000000000002,0.39,9.38e-06,4,0.853,7,221543,-10.198,0.282,1,audio_features,81,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,Billie Eilish,electropop,2019,1
5,0.111,0.0897,82.64200000000001,0.0972,0.978,3.97e-05,4,0.36700000000000005,4,196077,-14.084000000000001,0.198,1,audio_features,86,spotify:track:43zdsphuZLzwA9k4DJhU0I,when the party's over,Billie Eilish,electropop,2019,1
6,0.235,0.107,62.446000000000005,0.315,0.698,0.00604,4,0.735,3,173202,-13.239,0.462,1,audio_features,75,spotify:track:6X29iaaazwho3ab7GNue5r,8,Billie Eilish,electropop,2019,1
7,0.305,0.105,100.029,0.354,0.35,0.000169,4,0.9390000000000001,8,179889,-10.952,0.563,0,audio_features,78,spotify:track:3Tc57t9l2O8FwQZtQOvPXK,my strange addiction,Billie Eilish,electropop,2019,1
8,0.389,0.106,120.046,0.332,0.74,0.162,4,0.905,8,193143,-14.505,0.196,1,audio_features,81,spotify:track:4SSnFejRGlZikf02HLewEF,bury a friend,Billie Eilish,electropop,2019,1
9,0.423,0.0896,120.02,0.0585,0.7240000000000001,0.469,4,0.855,5,156371,-15.044,0.5720000000000001,0,audio_features,78,spotify:track:7qEKqBCD2vE5vIBsrUitpD,ilomilo,Billie Eilish,electropop,2019,1
10,0.0561,0.38799999999999996,79.764,0.045,0.935,0.0038399999999999997,3,0.319,0,242652,-23.023000000000003,0.08199999999999999,1,audio_features,79,spotify:track:0tMSssfxAL2oV8Vri0mFHE,listen before i go,Billie Eilish,electropop,2019,1
11,0.131,0.109,137.446,0.0382,0.9520000000000001,0.004529999999999999,4,0.42100000000000004,0,291796,-18.435,0.12,1,audio_features,83,spotify:track:6CcJMwBtXByIz4zQLzFkKc,i love you,Billie Eilish,electropop,2019,1
12,0.138,0.254,74.318,0.0503,0.8370000000000001,0.55,3,0.153,6,119410,-21.877,0.0503,0,audio_features,73,spotify:track:3LgWsmilsrWXiPYQFRD0T7,goodbye,Billie Eilish,electropop,2019,1
13,0.309,0.35200000000000004,104.745,0.062,0.795,0.132,4,0.444,8,208155,-10.956,0.0875,1,audio_features,90,spotify:track:2ygvZOXrIeVL4xZmAWJT2C,my future,Billie Eilish,electropop,2020,1
14,0.21899999999999997,0.0827,73.53699999999999,0.0358,0.917,0.0104,4,0.38,4,242265,-13.273,0.0517,0,audio_features,81,spotify:track:73SpzrcaHk0RQPFP73vqVR,No Time To Die,Billie Eilish,electropop,2020,1
15,0.225,0.106,120.006,0.0994,0.902,0.657,4,0.7040000000000001,6,245426,-14.454,0.243,0,audio_features,88,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,electropop,2019,1
16,0.332,0.0848,150.13,0.0425,0.853,0.433,4,0.696,6,270520,-12.834000000000001,0.0628,1,audio_features,69,spotify:track:7tGEAA1f8MydT7eVbbO9Zy,WHEN I WAS OLDER - Music Inspired By The Film ROMA,Billie Eilish,electropop,2019,1
17,0.321,0.114,145.045,0.0931,0.693,0.0307,4,0.64,0,210376,-14.604000000000001,0.177,1,audio_features,73,spotify:track:7wC5eZcFS1Q1BsQ35DU6H4,come out and play,Billie Eilish,electropop,2018,1
18,0.29600000000000004,0.095,115.28399999999999,0.0333,0.934,0.0,4,0.35100000000000003,4,200186,-10.109,0.12,0,audio_features,88,spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish & Khalid,electropop,2018,1
19,0.42200000000000004,0.0958,120.03299999999999,0.0482,0.9209999999999999,0.00924,4,0.778,0,176472,-10.113999999999999,0.187,1,audio_features,76,spotify:track:5t3Vk8bRKylx4fjj7qlbib,bitches broken hearts,Billie Eilish,electropop,2018,1
20,0.38799999999999996,0.341,124.90899999999999,0.0932,0.353,9.25e-05,4,0.679,4,194711,-10.977,0.23399999999999999,0,audio_features,77,spotify:track:5w7wuzMzsDer96KqxafeRK,COPYCAT,Billie Eilish,electropop,2017,1
21,0.41200000000000003,0.11599999999999999,170.16299999999998,0.0402,0.737,0.0,3,0.483,7,203569,-8.461,0.247,1,audio_features,82,spotify:track:41zXlQxzTi6cGAjpOXyLYH,idontwannabeyouanymore,Billie Eilish,electropop,2017,1
22,0.39399999999999996,0.11699999999999999,89.936,0.207,0.47200000000000003,0.00019099999999999998,4,0.6920000000000001,11,170852,-8.745,0.324,0,audio_features,76,spotify:track:1RGasjWLZ4qMN7wbtkLa3u,my boy,Billie Eilish,electropop,2017,1
23,0.599,0.10300000000000001,165.21200000000002,0.225,0.33299999999999996,0.00198,4,0.441,0,177523,-8.985,0.35,1,audio_features,74,spotify:track:7eB1V5LvAdxCc7brfGhRRo,watch,Billie Eilish,electropop,2017,1
24,0.188,0.10300000000000001,130.02200000000002,0.0883,0.882,2.83e-06,4,0.826,0,204770,-12.181,0.205,1,audio_features,72,spotify:track:3WxmlTZ85sCYFnuIXmUAEe,party favor,Billie Eilish,electropop,2017,1
25,0.363,0.084,144.892,0.040999999999999995,0.816,0.0317,4,0.511,4,200379,-7.65,0.16899999999999998,0,audio_features,83,spotify:track:7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,electropop,2017,1
26,0.12300000000000001,0.0732,129.565,0.0497,0.868,3.12e-05,5,0.42700000000000005,9,229426,-15.228,0.0394,0,audio_features,76,spotify:track:1WsEgieHsWWndAzLkmV105,hostage,Billie Eilish,electropop,2017,1
27,0.379,0.0969,82.531,0.331,0.213,0.00175,4,0.7759999999999999,9,179016,-9.351,0.34600000000000003,0,audio_features,63,spotify:track:6X7qcg95CAeJpTjtg1wooM,&burn (with Vince Staples),Billie Eilish & Vince Staples,electropop,2017,1
28,0.318,0.0795,119.959,0.0478,0.8959999999999999,0.0023899999999999998,4,0.614,7,180933,-12.695,0.11199999999999999,1,audio_features,76,spotify:track:04sN26COy28wTXYj3dMoiZ,Bored,Billie Eilish,electropop,2017,1
29,0.573,0.48200000000000004,99.939,0.106,0.46,0.0734,4,0.695,4,179172,-8.597000000000001,0.408,0,audio_features,77,spotify:track:51NFxnQvaosfDDutk0tams,bellyache,Billie Eilish,electropop,2017,1
30,0.307,0.0792,67.513,0.0428,0.807,0.00035499999999999996,4,0.5760000000000001,11,189613,-12.732000000000001,0.157,0,audio_features,77,spotify:track:2VlLbhGLVJgdOW7kKdWWFc,Six Feet Under,Billie Eilish,electropop,2016,1
31,0.725,0.0889,85.27,0.065,0.29600000000000004,0.00022,4,0.6709999999999999,2,140400,-10.065,0.956,1,audio_features,44,spotify:track:1FRP8d6l2jm3DS5f78ZrhK,Route 66,The Rolling Stones,album rock,1964,1
32,0.825,0.354,126.81700000000001,0.098,0.21899999999999997,0.845,4,0.657,0,137667,-8.94,0.5820000000000001,1,audio_features,37,spotify:track:7j96wehhMtN0fkVvFhD8Ix,I Just Want To Make Love To You - Mono Version,The Rolling Stones,album rock,1964,1
33,0.374,0.20800000000000002,87.59299999999999,0.10300000000000001,0.151,0.6509999999999999,4,0.6459999999999999,8,129800,-10.706,0.475,0,audio_features,34,spotify:track:22Bvku5X3odiXj2wbtgY4T,Honest I Do,The Rolling Stones,album rock,1964,1
34,0.684,0.0981,99.014,0.133,0.0688,0.00025699999999999996,4,0.695,1,214693,-9.968,0.42700000000000005,1,audio_features,35,spotify:track:1o2wswWx1RkkNuVp6Z21HC,Mona (I Need You Baby),The Rolling Stones,album rock,1964,1
35,0.682,0.256,97.84899999999999,0.0298,0.0375,0.912,4,0.6659999999999999,4,151813,-7.789,0.953,1,audio_features,32,spotify:track:6QswKScFURI1x3gZ9isXK7,Now I've Got A Witness,The Rolling Stones,album rock,1964,1
36,0.7190000000000001,0.155,87.743,0.0558,0.0146,0.13,4,0.48200000000000004,9,159707,-8.794,0.909,1,audio_features,33,spotify:track:1WLo0a2kvkcwTZ9x3r3MDt,Little By Little - Mono Version,The Rolling Stones,album rock,1964,1
37,0.565,0.0565,105.42299999999999,0.0629,0.0149,0.0037799999999999995,4,0.8859999999999999,11,156147,-10.818,0.8959999999999999,0,audio_features,36,spotify:track:3RZSaVu065GXm9CUZE3ixN,I'm A King Bee,The Rolling Stones,album rock,1964,1
